question_id,p_at_1,p_at_5,rr,ap
2306,0.000,0.000,0.091,0.122
2303,0.000,0.600,0.500,0.646
2301,1.000,1.000,1.000,0.944
2309,0.000,0.000,0.111,0.111
2320,0.000,0.200,0.333,0.333
2316,0.000,0.400,0.500,0.528
2313,0.000,0.000,0.143,0.143
2311,0.000,0.000,0.000,0.000
2319,1.000,0.400,1.000,0.768
2210,0.000,0.400,0.500,0.475
2330,1.000,0.600,1.000,0.698
2206,0.000,0.000,0.000,0.000
2326,0.000,0.200,0.200,0.289
2325,0.000,0.000,0.000,0.000
2323,0.000,0.000,0.000,0.000
2209,0.000,0.000,0.000,0.000
2100,0.000,0.000,0.167,0.167
2220,0.000,0.000,0.000,0.000
2340,1.000,0.600,1.000,0.789
2339,0.000,0.200,0.333,0.258
2338,1.000,0.200,1.000,1.000
2337,0.000,0.200,0.200,0.267
2336,0.000,0.000,0.143,0.242
2335,1.000,0.400,1.000,0.767
2334,1.000,1.000,1.000,1.000
2333,0.000,0.000,0.000,0.000
2219,0.000,0.000,0.125,0.199
2232,1.000,0.600,1.000,0.867
2110,0.000,0.000,0.100,0.100
2352,1.000,0.800,1.000,0.826
2351,0.000,0.400,0.500,0.583
2107,0.000,0.200,0.333,0.299
2106,1.000,0.800,1.000,0.794
2105,1.000,0.800,1.000,0.845
2347,1.000,0.600,1.000,0.789
2225,0.000,0.600,0.333,0.586
2102,1.000,0.600,1.000,0.893
2344,0.000,0.000,0.125,0.174
2343,0.000,0.000,0.000,0.000
2001,1.000,0.600,1.000,0.806
2364,0.000,0.200,0.200,0.273
2121,0.000,0.200,0.200,0.200
2120,0.000,0.000,0.083,0.083
2362,0.000,0.400,0.333,0.424
2361,0.000,0.000,0.000,0.000
2119,0.000,0.600,0.500,0.608
2239,0.000,0.400,0.333,0.470
2238,0.000,0.000,0.000,0.000
2116,0.000,0.000,0.000,0.000
2358,0.000,0.000,0.000,0.000
2236,0.000,0.200,0.200,0.250
2235,0.000,0.400,0.333,0.402
2355,1.000,0.600,1.000,0.893
2354,0.000,0.000,0.125,0.239
2133,1.000,1.000,1.000,0.957
2375,0.000,0.000,0.167,0.250
2374,0.000,0.000,0.077,0.077
2131,0.000,0.600,0.333,0.556
2251,1.000,0.400,1.000,1.000
2370,0.000,0.000,0.091,0.091
2129,0.000,0.600,0.500,0.616
2128,0.000,0.200,0.333,0.310
2127,0.000,0.400,0.500,0.475
2005,0.000,0.400,0.333,0.426
2247,0.000,0.200,0.250,0.292
2004,1.000,1.000,1.000,1.000
2367,0.000,0.200,0.333,0.381
2124,0.000,0.000,0.000,0.000
