question_id,tp,fn,fp,precision,recall,f1
2306,0,2,5,0.0,0.0,0.0
2303,3,1,2,0.6,0.75,0.6666666666666665
2301,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2309,0,1,5,0.0,0.0,0.0
2320,1,0,4,0.2,1.0,0.33333333333333337
2316,2,5,3,0.4,0.2857142857142857,0.3333333333333333
2313,0,1,5,0.0,0.0,0.0
2311,0,0,5,0.0,0.0,0.0
2319,2,2,3,0.4,0.5,0.4444444444444445
2210,2,2,3,0.4,0.5,0.4444444444444445
2330,3,2,2,0.6,0.6,0.6
2206,0,0,5,0.0,0.0,0.0
2326,1,2,4,0.2,0.3333333333333333,0.25
2325,0,0,5,0.0,0.0,0.0
2323,0,0,5,0.0,0.0,0.0
2209,0,0,5,0.0,0.0,0.0
2100,0,1,5,0.0,0.0,0.0
2220,0,0,5,0.0,0.0,0.0
2340,3,2,2,0.6,0.6,0.6
2339,1,1,4,0.2,0.5,0.28571428571428575
2338,1,0,4,0.2,1.0,0.33333333333333337
2337,1,1,4,0.2,0.5,0.28571428571428575
2336,0,3,5,0.0,0.0,0.0
2335,2,1,3,0.4,0.6666666666666666,0.5
2334,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2333,0,0,5,0.0,0.0,0.0
2219,0,3,5,0.0,0.0,0.0
2232,3,0,2,0.6,1.0,0.7499999999999999
2110,0,1,5,0.0,0.0,0.0
2352,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2351,2,0,3,0.4,1.0,0.5714285714285715
2107,1,2,4,0.2,0.3333333333333333,0.25
2106,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2105,4,7,1,0.8,0.36363636363636365,0.5000000000000001
2347,3,2,2,0.6,0.6,0.6
2225,3,4,2,0.6,0.42857142857142855,0.5
2102,3,1,2,0.6,0.75,0.6666666666666665
2344,0,2,5,0.0,0.0,0.0
2343,0,0,5,0.0,0.0,0.0
2001,3,0,2,0.6,1.0,0.7499999999999999
2364,1,2,4,0.2,0.3333333333333333,0.25
2121,1,0,4,0.2,1.0,0.33333333333333337
2120,0,1,5,0.0,0.0,0.0
2362,2,3,3,0.4,0.4,0.4000000000000001
2361,0,0,5,0.0,0.0,0.0
2119,3,1,2,0.6,0.75,0.6666666666666665
2239,2,4,3,0.4,0.3333333333333333,0.3636363636363636
2238,0,0,5,0.0,0.0,0.0
2116,0,0,5,0.0,0.0,0.0
2358,0,0,5,0.0,0.0,0.0
2236,1,2,4,0.2,0.3333333333333333,0.25
2235,2,2,3,0.4,0.5,0.4444444444444445
2355,3,1,2,0.6,0.75,0.6666666666666665
2354,0,4,5,0.0,0.0,0.0
2133,5,2,0,1.0,0.7142857142857143,0.8333333333333333
2375,0,3,5,0.0,0.0,0.0
2374,0,1,5,0.0,0.0,0.0
2131,3,6,2,0.6,0.3333333333333333,0.42857142857142855
2251,2,0,3,0.4,1.0,0.5714285714285715
2370,0,1,5,0.0,0.0,0.0
2129,3,5,2,0.6,0.375,0.4615384615384615
2128,1,1,4,0.2,0.5,0.28571428571428575
2127,2,2,3,0.4,0.5,0.4444444444444445
2005,2,3,3,0.4,0.4,0.4000000000000001
2247,1,1,4,0.2,0.5,0.28571428571428575
2004,5,0,0,1.0,1.0,1.0
